,david,AF, TODO,
,david,AO, TODO,
,david,AL, TODO,
,david,AE, TODO,
,david,AR, TODO,
,david,AM, Planned,
,david,AU, TODO,
,david,AT, Visited,
,david,AZ, Planned,
,david,BI, TODO,
,david,BE, Visited,
,david,BJ, TODO,
,david,BF, TODO,
,david,BD, TODO,
,david,BG, Planned,
,david,BA, Visited,
,david,BY, TODO,
,david,BZ, TODO,
,david,BO, TODO,
,david,BR, TODO,
,david,BN, TODO,
,david,BT, TODO,
,david,BW, TODO,
,david,CF, TODO,
,david,CA, TODO,
,david,CH, Lived,
,david,CL, TODO,
,david,CN, Lived,
,david,CI, TODO,
,david,CM, TODO,
,david,CD, TODO,
,david,CG, TODO,
,david,CO, TODO,
,david,CR, TODO,
,david,CU, TODO,
,david,CZ, Lived,
,david,DE, Visited,
,david,DJ, TODO,
,david,DK, Visited,
,david,DO, Visited,
,david,DZ, TODO,
,david,EC, TODO,
,david,EG, Visited,
,david,ER, TODO,
,david,EE, Visited,
,david,ET, TODO,
,david,FI, Visited,
,david,FJ, TODO,
,david,GA, TODO,
,david,GB, Lived,
,david,GE, Planned,
,david,GH, TODO,
,david,GN, TODO,
,david,GM, TODO,
,david,GW, TODO,
,david,GQ, TODO,
,david,GR, Visited,
,david,GL, TODO,
,david,GT, TODO,
,david,GY, TODO,
,david,HN, TODO,
,david,HR, Visited,
,david,HT, TODO,
,david,HU, Visited,
,david,ID, TODO,
,david,IN, TODO,
,david,IE, Visited,
,david,IR, TODO,
,david,IQ, TODO,
,david,IS, TODO,
,david,IL, Visited,
,david,IT, Visited,
,david,JM, TODO,
,david,JO, TODO,
,david,JP, TODO,
,david,KZ, TODO,
,david,KE, Visited,
,david,KG, TODO,
,david,KH, Visited,
,david,KR, Visited,
,david,XK, TODO,
,david,KW, TODO,
,david,LA, TODO,
,david,LB, TODO,
,david,LR, TODO,
,david,LY, TODO,
,david,LK, TODO,
,david,LS, TODO,
,david,LT, TODO,
,david,LU, Visited,
,david,LV, TODO,
,david,MA, Visited,
,david,MD, TODO,
,david,MG, TODO,
,david,MX, TODO,
,david,MC, Visited,
,david,MK, TODO,
,david,ML, TODO,
,david,MM, Visited,
,david,ME, Visited,
,david,MN, TODO,
,david,MZ, TODO,
,david,MR, TODO,
,david,MW, TODO,
,david,MY, TODO,
,david,NA, TODO,
,david,NE, TODO,
,david,NG, TODO,
,david,NI, TODO,
,david,NL, Lived,
,david,NO, Visited,
,david,NP, TODO,
,david,NZ, TODO,
,david,OM, TODO,
,david,PK, TODO,
,david,PA, TODO,
,david,PE, TODO,
,david,PH, TODO,
,david,PG, TODO,
,david,PL, Visited,
,david,KP, Visited,
,david,PT, Visited,
,david,PY, TODO,
,david,PS, Visited,
,david,QA, TODO,
,david,RO, Visited,
,david,RU, TODO,
,david,RW, TODO,
,david,EH, TODO,
,david,SA, TODO,
,david,SD, TODO,
,david,SS, TODO,
,david,SN, TODO,
,david,SL, TODO,
,david,SV, TODO,
,david,RS, Visited,
,david,SR, TODO,
,david,SK, Visited,
,david,SI, TODO,
,david,SE, Visited,
,david,SZ, TODO,
,david,SY, TODO,
,david,TD, TODO,
,david,TG, TODO,
,david,TH, Visited,
,david,TJ, TODO,
,david,TM, TODO,
,david,TL, TODO,
,david,TN, TODO,
,david,TR, Visited,
,david,TW, Visited,
,david,TZ, TODO,
,david,UG, TODO,
,david,UA, TODO,
,david,UY, TODO,
,david,US, Visited,
,david,UZ, TODO,
,david,VE, TODO,
,david,VN, Visited,
,david,VU, TODO,
,david,YE, TODO,
,david,ZA, TODO,
,david,ZM, TODO,
,david,ZW, TODO,
,david,SO, TODO,
,david,FR, Visited,
,david,ES, Lived,
,david,AW, TODO,
,david,AI, TODO,
,david,AD, TODO,
,david,AG, TODO,
,david,BS, TODO,
,david,BM, TODO,
,david,BB, TODO,
,david,KM, TODO,
,david,CV, TODO,
,david,KY, TODO,
,david,DM, TODO,
,david,FK, TODO,
,david,FO, TODO,
,david,GD, TODO,
,david,HK, Lived,
,david,KN, TODO,
,david,LC, TODO,
,david,LI, TODO,
,david,MF, TODO,
,david,MV, TODO,
,david,MT, TODO,
,david,MS, TODO,
,david,MU, TODO,
,david,NC, TODO,
,david,NR, TODO,
,david,PN, TODO,
,david,PR, TODO,
,david,PF, TODO,
,david,SG, Visited,
,david,SB, TODO,
,david,ST, TODO,
,david,SX, TODO,
,david,SC, TODO,
,david,TC, TODO,
,david,TO, TODO,
,david,TT, TODO,
,david,VC, TODO,
,david,VG, TODO,
,david,VI, TODO,
,david,CY, TODO,
,david,RE, TODO,
,david,YT, TODO,
,david,MQ, TODO,
,david,GP, TODO,
,david,CW, TODO,
,david,IC, TODO,